Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,114500.0,120216.0,126305.0,132639.0,138785.0,144849.0,151323.0,158197.0,165456.0,172745.0,179129.0,184435.0,189181.0,193563.0,197767.0,201881.0,206096.0,210534.0,215016.0,219426.0,223752.0,227956.0,232177.0,236586.0,241166.0,245935.0,250804.0,255618.0,260452.0,265493.0,270679,276058,281973,288164,293997,299554,304933,310171,315398,320272,325014,329626,334002,338490,343089,347804,352664,357666,362795,368057,373272,377950,382061,385650,389131,392697,395976,399020,401906,404557,406471,407906,409984
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3262539.0,3325333.0,3387512.0,3448532.0,3507959.0,3565517.0,3620849.0,3673367.0,3723067.0,3770376.0,3815561.0,3859242.0,3901895.0,3943152.0,3983063.0,4022090.0,4060039.0,4096516.0,4131521.0,4165511.0,4199820.0,4235970.0,4274013.0,4312521.0,4349597.0,4383306.0,4413374.0,4440300.0,4463320.0,4481230.0,4494310,4502386,4275730,3942981,3762330,3750527,3907751,4047748,4115059,4153014,4179350,4194932,4198410,4183757,4142860,4094297,4058086,4007876,3943392,3877750,3811088,3743142,3674374,3617559,3571068,3524324,3480986,3440027,3400129,3360711,3318407,3270943,3233526
Belarus,BLR,"Population, total",SP.POP.TOTL,8198000.0,8271216.0,8351928.0,8437232.0,8524224.0,8610000.0,8696496.0,8785648.0,8874552.0,8960304.0,9040000.0,9115576.0,9188968.0,9257272.0,9317584.0,9367000.0,9411000.0,9463000.0,9525000.0,9584000.0,9643000.0,9710000.0,9776000.0,9843000.0,9910000.0,9975000.0,10043000.0,10111000.0,10140000.0,10170000.0,10189348,10194050,10216470,10239050,10226955,10193831,10159569,10117433,10071963,10026738,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9504583,9483836,9461643,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9228071
Belize,BLZ,"Population, total",SP.POP.TOTL,91403.0,93757.0,96188.0,98862.0,101772.0,104838.0,108062.0,111411.0,114825.0,118145.0,120905.0,123091.0,125054.0,126875.0,128620.0,130801.0,133471.0,136183.0,138933.0,141823.0,145133.0,148764.0,152409.0,156053.0,159721.0,163436.0,167191.0,170980.0,174817.0,178695.0,182589,186462,190299,194177,198416,203556,209840,217117,224907,232733,240406,248100,255987,263998,272128,280375,288729,297173,305671,314171,322106,329538,337059,344688,352335,359871,367313,374693,382066,389095,394921,400031,405272
Bermuda,BMU,"Population, total",SP.POP.TOTL,44400.0,45500.0,46600.0,47700.0,48900.0,50100.0,51000.0,52000.0,53000.0,54000.0,55000.0,54600.0,54200.0,53800.0,53400.0,53000.0,53200.0,53400.0,53600.0,53800.0,54670.0,55050.0,55449.0,55930.0,56423.0,56898.0,57382.0,57849.0,58347.0,58841.0,59326,59021,58595,58910,59320,59746,60129,60497,60943,61285,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65138,65237,64554,63873,63918,63911,63893,63764,63532
Bolivia,BOL,"Population, total",SP.POP.TOTL,3707515.0,3784744.0,3864140.0,3945729.0,4029472.0,4115511.0,4204065.0,4295269.0,4389249.0,4486098.0,4585693.0,4688267.0,4793804.0,4902248.0,5013765.0,5127776.0,5244355.0,5363917.0,5486132.0,5610380.0,5736088.0,5862990.0,5991118.0,6120620.0,6251926.0,6385630.0,6521983.0,6661434.0,6804072.0,6949139.0,7096194,7244891,7394419,7544489,7693722,7841471,7989367,8137619,8286928,8439052,8592656,8746084,8900583,9057378,9216279,9377388,9542663,9711152,9880593,10051317,10223270,10396246,10569697,10743349,10916987,11090085,11263015,11435533,11606905,11777315,11936162,12079472,12224110
Brazil,BRA,"Population, total",SP.POP.TOTL,73092515.0,75330008.0,77599218.0,79915555.0,82262794.0,84623747.0,86979283.0,89323288.0,91659246.0,94000381.0,96369875.0,98766288.0,101194394.0,103666904.0,106167372.0,108700515.0,111286504.0,113939886.0,116664382.0,119447303.0,122288383.0,125168060.0,128065095.0,130977370.0,133888775.0,136783180.0,139643355.0,142466264.0,145253973.0,148003411.0,150706446,153336445,155900790,158440875,160980472,163515328,166037122,168546707,171039804,173486281,175873720,178211881,180476685,182629278,184722043,186797334,188820682,190779453,192672317,194517549,196353492,198185302,199977707,201721767,203459650,205188205,206859578,208504960,210166592,211782878,213196304,214326223,215313498
Barbados,BRB,"Population, total",SP.POP.TOTL,232550.0,233698.0,234829.0,235875.0,236834.0,237694.0,238494.0,239238.0,239905.0,240594.0,241397.0,242350.0,243458.0,244643.0,245851.0,247090.0,248359.0,249663.0,251009.0,252334.0,253575.0,254684.0,255642.0,256505.0,257279.0,257911.0,258370.0,258654.0,258762.0,258759.0,258868,259402,260212,260995,261712,262303,262793,263224,263642,264170,264657,265377,266455,267499,268505,269477,270425,271444,272635,273791,274711,275486,276197,276865,277493,278083,278649,279187,279688,280180,280693,281200,281635
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,85346.0,89561.0,93837.0,98277.0,102904.0,107686.0,112597.0,117628.0,122764.0,128012.0,133343.0,138666.0,143886.0,149065.0,154314.0,159653.0,165064.0,170560.0,176176.0,181951.0,187921.0,194099.0,200630.0,207523.0,214682.0,222119.0,229815.0,237712.0,245729.0,253821.0,261928,269860,277416,284713,291935,299097,306196,313215,320152,327045,333926,340748,347463,354045,360461,366717,372808,378748,384568,390311,396053,401506,406634,411702,416656,421437,425994,430276,434274,438048,441725,445373,449002
Bhutan,BTN,"Population, total",SP.POP.TOTL,221266.0,227071.0,233417.0,240268.0,247444.0,255010.0,262976.0,271339.0,280102.0,289296.0,298894.0,308837.0,319128.0,329800.0,340842.0,352269.0,364119.0,376387.0,389072.0,402063.0,415257.0,428641.0,442201.0,456033.0,470165.0,484528.0,499151.0,514026.0,529051.0,544209.0,558442,567710,545944,520838,521260,527536,537494,546865,557143,570990,587207,603234,619048,634627,649991,663323,673260,681614,689737,697678,705516,713331,721145,728889,736357,743274,749761,756121,762096,767459,772506,777486,782455
Botswana,BWA,"Population, total",SP.POP.TOTL,512865.0,524403.0,536428.0,549041.0,562274.0,570975.0,574855.0,578723.0,582655.0,586737.0,592244.0,604139.0,626601.0,657246.0,691569.0,727930.0,766424.0,806968.0,849394.0,893500.0,938578.0,982747.0,1023009.0,1060717.0,1099170.0,1138704.0,1179263.0,1220361.0,1261272.0,1301671.0,1341474,1380584,1420695,1462262,1503544,1543634,1582169,1619354,1655699,1691558,1726985,1761930,1795130,1826863,1859085,1892807,1928704,1966977,2007320,2048997,2091664,2134037,2175425,2217278,2260376,2305171,2352416,2401840,2451409,2499702,2546402,2588423,2630296
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1679728.0,1710364.0,1742502.0,1776214.0,1811694.0,1849171.0,1888853.0,1930861.0,1975257.0,2021519.0,2067356.0,2111224.0,2153613.0,2195905.0,2239305.0,2283927.0,2318349.0,2342048.0,2365957.0,2390329.0,2415276.0,2441010.0,2467635.0,2495097.0,2523538.0,2553075.0,2583631.0,2615594.0,2657235.0,2724109.0,2809221,2898052,2991727,3089146,3187844,3276706,3363570,3458472,3555064,3655360,3759170,3844773,3930648,4026841,4115138,4208834,4294352,4375569,4467233,4564540,4660067,4732022,4773306,4802428,4798734,4819333,4904177,4996741,5094780,5209324,5343020,5457154,5579144
