Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,169803921.6,190098039.2,212254902.0,237745098.0,266666666.7,300392156.9,340000000.0,390196078.4,444901960.8,528137254.9,538423153.7,573400000.0,590900000.0,670900000.0,632400000.0,596200000.0,642100000.0,713000000.0,832400000.0,1139800100.0,1335300000.0,1426500000.0,1578300000.0,1732800000.0,2041100000.0,2320699900.0,2472500000.0,2713999900.0,2817900000.0,3062000000.0,3166000000.0,3111160000.0,3109000000.0,3092000000.0,3259000000.0,3429000000.0,3609000000.0,6332360000.0,6833220000.0,7683870000.0,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720400000.0,10395500000.0,10974800000.0,11672900000.0,11750800000.0,12253500000.0,12653600000.0,13058700000.0,9754600000.0,11527600000.0,12897400000.0,
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255802469.0,1866572954.0,2786045322.0,3671909673.0,4116774301.0,4686256363.0,5567772769.0,5800615466.0,6728220887.0,8498894359.0,10156541538.0,11222796337.0,12864841906.0,15778734264.0,19112796623.0,17613949091.0,17176315804.0,18644233537.0,17226735996.0,18179108531.0,18558733564.0,16404348871.0,17116926328.0,18326373366.0,20484053869.0,20482608755.0,20226036564.0,23649568277.0,24473906674.0,
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9200000000.0,16416666667.0,14952100840.0,13970425777.0,14756846154.0,14130585516.0,15221352699.0,12138243081.0,12736780455.0,12354820144.0,14594900945.0,17825444724.0,23141566293.0,30210091837.0,36961894281.0,45275711996.0,60752106347.0,50873167326.0,57231904543.0,61762382328.0,65685890439.0,75527558966.0,78812805039.0,56454889147.0,47723545321.0,54725302250.0,60031173808.0,64410122847.0,61371755326.0,69673747132.0,72793457588.0,
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,28072478.07,29964999.97,31857591.86,33750113.75,36194586.19,40110040.11,44450044.45,47431255.75,44999910.0,47399905.2,53339893.32,59074687.2,65998069.38,78214767.83,103160450.4,118194026.3,97094227.23,117650000.0,136300000.0,151800000.0,197938222.4,196089854.7,182206327.0,192103186.0,214381949.0,212643742.7,231638320.5,281082558.6,320093360.3,369133890.7,545686365.5,594975697.0,693625168.2,750018765.3,769649509.5,816491620.2,848205276.9,870861115.2,926550756.0,996906468.7,1134756761.0,1168127974.0,1240059540.0,1303381861.0,1394273991.0,1468145956.0,1584207353.0,1699214299.0,1731921564.0,1681473348.0,1739070295.0,1818831938.0,1899503250.0,2021757434.0,2125125606.0,2194709309.0,2240593543.0,2266664817.0,2292787336.0,2386792476.0,2047727810.0,2424575179.0,2830507576.0,
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,84466652.59,89249985.13,94149984.31,96366650.61,107566648.7,114339050.3,134173375.3,155102980.1,150000000.0,164900000.0,186300000.0,211100000.0,235400000.0,269500000.0,312600000.0,345000000.0,386300000.0,447000000.0,475800000.0,517200000.0,613299968.0,739100032.0,785500032.0,889400000.0,985699968.0,1039500032.0,1173500032.0,1296499968.0,1415100032.0,1501500032.0,1592400000.0,1634900000.0,1679900000.0,1820359900.0,1867160100.0,2030750000.0,2695390000.0,2932827000.0,3130748000.0,3324433000.0,3480219000.0,3680483000.0,3937228000.0,4186525000.0,4484703000.0,4868136000.0,6144000000.0,6767000000.0,6980000000.0,6656000000.0,6634526000.0,6312691000.0,6378188000.0,6465756000.0,6413988000.0,6654541000.0,6899911000.0,7142316000.0,7225977000.0,7423465000.0,6887147000.0,7127200000.0,7546000000.0,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,373250000.0,406000000.0,443916666.7,478000000.0,538583333.3,598333333.3,662500000.0,748250000.0,849333333.3,920333333.3,1006833333.0,1084666667.0,1286153846.0,1263600000.0,2101300000.0,2405900000.0,2733350000.0,3229050000.0,3760100000.0,4510500000.0,4450368037.0,5778487837.0,5600385568.0,5414008064.0,6169304492.0,5377276657.0,3959383520.0,4347956338.0,4597611710.0,4715973437.0,4867582598.0,5343262457.0,5643868749.0,5734699489.0,5981222859.0,6715161732.0,7396949126.0,7925736821.0,8497494652.0,8285064435.0,8397855485.0,8141516928.0,7905485146.0,8082399640.0,8773451752.0,9549122905.0,11451844902.0,13120108008.0,16674276286.0,17339992194.0,19649723722.0,23963164697.0,27084497482.0,30659338886.0,32996188017.0,33000198249.0,33941126194.0,37508642171.0,40287647931.0,40895322851.0,36629843806.0,40406111695.0,44008282878.0,
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425595000000.0,461952000000.0,407338000000.0,390590000000.0,438302000000.0,546230000000.0,769333000000.0,850426000000.0,883206000000.0,863711000000.0,599642000000.0,655448000000.0,559984000000.0,509795000000.0,558234000000.0,669289000000.0,891634000000.0,1107630000000.0,1397110000000.0,1695860000000.0,1667000000000.0,2208840000000.0,2616160000000.0,2465230000000.0,2472820000000.0,2456040000000.0,1802210000000.0,1795690000000.0,2063510000000.0,1916930000000.0,1873290000000.0,1476110000000.0,1649620000000.0,1920100000000.0,
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,311809337.5,402178605.0,435911268.6,495097667.9,552883707.1,670362452.1,1012280615.0,1114204743.0,1163923830.0,1236016507.0,1346890071.0,1409536121.0,1547755183.0,1704370308.0,1812757918.0,2006165167.0,2012131457.0,2020583702.0,1957000000.0,2063342117.0,2151344901.0,2216974096.0,2363645403.0,2498384130.0,2817083478.0,2951822205.0,3059500000.0,3054500000.0,3106500000.0,3209500000.0,3444500000.0,3819500000.0,4217450000.0,4674000000.0,4785250000.0,4465500000.0,4531150000.0,4656400000.0,4613850000.0,4685550000.0,4707600000.0,4734000000.0,4843300000.0,4992300000.0,5110250000.0,5341100000.0,4738800000.0,4923100000.0,5699950000.0,
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,114039500.6,132757528.0,139029537.2,160818235.9,161210236.4,179078929.3,197525767.8,270822782.0,433095526.7,1073591624.0,1168304306.0,1423037167.0,1732721161.0,1941579358.0,2803834158.0,4928806543.0,4366230383.0,4264202521.0,3844632167.0,3782553234.0,3523532486.0,2358574403.0,2754485672.0,2690684125.0,2985532273.0,3520487627.0,3701774189.0,4183632940.0,4105729021.0,4087220219.0,4734103536.0,5115454090.0,5197311972.0,4051142386.0,4600116699.0,6001282104.0,5601018684.0,5843368268.0,6557397070.0,7872202803.0,9531420028.0,11470464771.0,12247677994.0,14393434225.0,10732595016.0,13707280260.0,18525128526.0,19048443341.0,18094321617.0,17097802753.0,12930291488.0,11400466356.0,12128183904.0,13566937674.0,13469235365.0,12005799654.0,14006496617.0,16681536467.0,
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,128669200.9,139174178.1,141439317.4,156704289.9,160423494.0,163288815.3,191218115.5,242742766.4,272298066.5,264798626.2,287765007.1,240294286.0,240233531.2,225973692.8,258954708.0,290490983.8,303408345.6,352229076.7,363458380.9,399311199.5,424448931.0,461479581.8,520846133.5,603999374.5,682577068.5,796938572.0,874989741.1,1168307584.0,1227809270.0,1234015133.0,1547990912.0,1777102573.0,1781280182.0,1756214316.0,1907090376.0,2003596839.0,2158971711.0,2591358114.0,2583335724.0,2735683409.0,2457604043.0,2768003873.0,2768003873.0,
