Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bangladesh,BGD,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,1.200000048,2.700000048,5.300000191,9.300000191,17.0,15.10000038,19.0,19.60000038,19.79999924,19.89999962,20.60000038,53.09999847,68.80000305,70.80000305,83.19999695,76.5,84.09999847,69.5,99.40000153,82.59999847,47.70000076,160.6000061,165.3000031,135.6999969,199.8000031,144.8000031,143.1000061,193.867,169.602,171.582,175.496,180.432,183.493,190.831,89.026,84.219,0.013,164.4246386,159.6927835,152.319037,225.1869,207.73842,57.00954718,53.97916179,61.74997781,50.616612,168.6607136,117.7852031,83.737427,112.2931128150902
Barbados,BRB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,0.200000003,0.899999976,0.899999976,0.5,0.300000012,1.299999952,0.799999982,0.300000012,2.599999905,4.300000191,2.599999905,0.400000006,0.400000006,0.400000006,0.400000006,0.30067978655940186,0.2260208317232061,0.1698997360527842,0.12771353901642155,0.09600219769047572,0.07216479969454234,0.05424624060944883,0.040776869508594535,0.030651950591232702,0.02304105455788713,0.017319948156623365,0.013019395592092612,0.00978667257260697,0.007356636440295993,0.005529979603708598,0.004156882654949127,0.0031247264267355614,0.0023488551523855998,0.0017656331382111367,0.0013272254679404464,0.000997674661076219,0.0007499514991210303,0.000563738133257965,0.00042376164760207666,0.00031854139960451114,0.0002394473965168329,0.00017999247749232725,0.00013530024725722355,0.00010170512214126383,7.645168489680747e-05,5.746868988016644e-05
Belarus,BLR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.400000095,2.400000095,2.400000095,5.199999809,2.599999905,3.5,1.799999952,1.614,1.491,1.272,1.093,1.152,1.157,1.215,1.239,1.225,1.022,1.539,1.549,1.755,1.695996,1.821996,1.807,1.266,1.9151,1.9004,2.8839,1.882857,2.2573,2.6520201789312527
Belgium,BEL,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,184.0,202.3999939,224.5,238.6000061,286.1000061,281.2000122,316.7000122,338.8999939,375.7999878,395.2000122,394.5,441.5,479.1000061,489.1000061,525.4000244,565.0,574.7999878,535.5,650.5,660.7000122,656.4000244,485.7999878,386.2999878,478.2000122,515.2000122,594.5999756,590.9000244,677.5999756,473.0,535.4000244,1017.479,852.778,655.425,604.608,712.952,705.13,740.386,755.193,981.682,1427.499,1067.351,1241.293,1369.89982,1560.81076,1596.3044,1479.976316,1505.405908,1574.378609,1285.344187,1353.426977,1265.065944,1827.413026,1827.413026
Belize,BLZ,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069925233,0.07508273,0.06083485,1.19620662,3.00429486,2.463420011,2.689022193,3.746059438,0.0,0.0,0.0,0.0,0.0
Benin,BEN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,5.800000191,7.099999905,8.0,8.300000191,10.80000019,11.5,13.10000038,13.0,14.60000038,17.10000038,18.0,21.0,21.0,18.70000076,17.39999962,18.39999962,16.5,16.29999924,15.89999962,18.0,17.70000076,16.10000038,15.19999981,14.19999981,14.39999962,15.30000019,16.39999962,15.30000019,13.5,13.69999981,12.273,7.364,6.5457777777777775,5.727555555555556,4.9093333333333335,4.091111111111111,3.2728888888888887,2.454666666666667,1.6364444444444448,0.8182222222222224,0.0,0.441834952,0.441834952,1.265124,0.553884,0.805347336,0.006442778,0.0074261401675580745,0.008559593049491922,0.009866045013933877,0.011371900936662791,0.013107595873587893,0.015108210187743476
Bermuda,BMU,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.2,0.21,0.246,0.253,0.263,0.279,0.264,0.448,0.421937732,0.483705822,0.471,0.635292,0.922884,0.538041372,0.65910068,0.530672,0.690916,0.318844,0.510072,0.358154,0.3488783653102114
Bolivia,BOL,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,1.5,2.5,2.799999952,2.900000095,2.400000095,2.599999905,4.099999905,27.60000038,43.09999847,33.90000153,37.59999847,43.70000076,27.60000038,17.20000076,38.0,41.5,27.79999924,25.5,8.300000191,8.399999619,8.399999619,5.0,6.800000191,10.10000038,28.39999962,48.90000153,46.59999847,47.09999847,43.0,19.79999924,15.341,13.568,14.922,24.522,24.371,25.295,10.714,8.718,8.755,6.871,11.23659598,17.41246171,12.30031495,7.993202,8.780725577,9.934797486,9.008756313,9.48554382,13.7284774,22.980404,17.95563766,20.27706066,24.676309298255006
Bosnia and Herzegovina,BIH,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.400000006,0.5,0.576,0.507,0.512,0.527,0.4391666666666667,0.3513333333333334,0.2635,0.1756666666666667,0.0878333333333333,0.0,0.001339148,0.001071318,0.000781858,0.000528,0.000408,8.7e-05,5.8e-05,2.9e-05,0.0,0.0,0.0,0.0,0.0
